Modelo,accuracy,f1,recall,roc_auc
ResNet50,0.7975,0.7991173124841977,0.7975,0.9793359222222222
MobileNetV2,0.7732,0.7744410301536947,0.7731999999999999,0.9752158666666666
EfficientNetB0,0.9252,0.9250536085597247,0.9252,0.9962968888888888
